epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_loss,valid_accuracy,valid_loss
0,2,,,,,0.5400000214576721,0.6598877906799316
0,2,,,0.54666668176651,0.7299726605415344,,
1,5,,,,,0.5799999833106995,0.6617932915687561
1,5,,,0.6266666650772095,0.6135815382003784,,
2,8,,,,,0.8600000143051147,0.4607110619544983
2,8,,,0.753333330154419,0.5091937780380249,,
3,11,,,,,0.7799999713897705,0.4271301329135895
3,11,,,0.9133333563804626,0.3717995285987854,,
4,14,,,,,0.8399999737739563,0.31212836503982544
4,14,,,0.9333333373069763,0.249887615442276,,
5,17,,,,,0.8199999928474426,0.27262604236602783
5,17,,,0.9733333587646484,0.15789581835269928,,
6,20,,,,,0.800000011920929,0.44997233152389526
6,20,,,0.9599999785423279,0.10650148242712021,,
7,23,,,,,0.9599999785423279,0.1045261025428772
7,23,,,0.95333331823349,0.12213825434446335,,
8,26,,,,,0.8600000143051147,0.23471538722515106
8,26,,,0.9733333587646484,0.07393627613782883,,
9,29,,,,,0.9599999785423279,0.10614325851202011
9,29,,,0.9866666793823242,0.04495549201965332,,
10,30,0.9900000095367432,0.04065282642841339,,,,
