epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,2,,,,,,0.7599999904632568,0.8699858784675598
0,2,,,0.9266666769981384,,0.2132190316915512,,
1,5,,,,,,0.9599999785423279,0.1288396716117859
1,5,,,0.9066666960716248,,0.20341244339942932,,
2,8,,,,,,0.9800000190734863,0.08573541045188904
2,8,,,0.9933333396911621,,0.03311746567487717,,
3,11,,,,,,1.0,0.07562417536973953
3,11,,,0.9666666388511658,,0.09193982928991318,,
4,14,,,,,,0.9399999976158142,0.17660635709762573
4,14,,,0.9933333396911621,,0.038213763386011124,,
5,17,,,,,,0.8600000143051147,0.3263135850429535
5,17,,,1.0,,0.027814079076051712,,
6,20,,,,,,0.8600000143051147,0.23105305433273315
6,20,,,0.9933333396911621,,0.0356491357088089,,
7,23,,,,,,0.9599999785423279,0.1182747557759285
7,23,,,1.0,,0.015313847921788692,,
8,26,,,,,,0.9599999785423279,0.08198023587465286
8,26,,,1.0,,0.014587413519620895,,
9,29,,,,,,0.9599999785423279,0.07290314882993698
9,29,,,1.0,,0.01121740136295557,,
10,32,,,,,,0.9599999785423279,0.08052487671375275
10,32,,,1.0,,0.009249608032405376,,
11,35,,,,,,0.9599999785423279,0.11203289777040482
11,35,,,1.0,,0.011261887848377228,,
12,38,,,,,,0.9599999785423279,0.12023787200450897
12,38,,,1.0,,0.008379864506423473,,
13,41,,,,,,0.9599999785423279,0.12424124032258987
13,41,,,1.0,,0.004995057824999094,,
14,44,,,,,,0.9599999785423279,0.10950077325105667
14,44,,,1.0,,0.004080638289451599,,
15,47,,,,,,0.9599999785423279,0.09759050607681274
15,47,,,1.0,,0.00297676888294518,,
16,49,,,,1.0,,,
16,50,,,,,,0.9599999785423279,0.08673741668462753
16,50,,,1.0,,0.003863692982122302,,
17,53,,,,,,0.9599999785423279,0.081165611743927
17,53,,,1.0,,0.002945327665656805,,
18,56,,,,,,0.9599999785423279,0.08190803229808807
18,56,,,1.0,,0.002545858034864068,,
19,59,,,,,,0.9599999785423279,0.0843958854675293
19,59,,,1.0,,0.0017625242471694946,,
20,62,,,,,,0.9599999785423279,0.06734293699264526
20,62,,,1.0,,0.0022332824300974607,,
21,65,,,,,,0.9800000190734863,0.046733397990465164
21,65,,,1.0,,0.0013609840534627438,,
22,68,,,,,,0.9800000190734863,0.03750430420041084
22,68,,,1.0,,0.0012447804911062121,,
23,71,,,,,,0.9800000190734863,0.03643540292978287
23,71,,,1.0,,0.0013990941224619746,,
24,74,,,,,,0.9800000190734863,0.041675399988889694
24,74,,,1.0,,0.0016099552158266306,,
25,77,,,,,,0.9800000190734863,0.05351366102695465
25,77,,,1.0,,0.0012939993757754564,,
26,80,,,,,,0.9599999785423279,0.0667877197265625
26,80,,,1.0,,0.0007892011781223118,,
27,83,,,,,,0.9599999785423279,0.06848160177469254
27,83,,,1.0,,0.001095274928957224,,
28,86,,,,,,0.9800000190734863,0.0455598309636116
28,86,,,1.0,,0.00145041779614985,,
29,89,,,,,,0.9800000190734863,0.03389584273099899
29,89,,,1.0,,0.0009507784270681441,,
30,90,0.9950000047683716,0.008856137283146381,,,,,
