epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,26,,,,,,13545.931640625,109.5118637084961
0,26,,,14521.5771484375,112.42841339111328,,,
1,49,,,,,106.28960418701172,,
1,53,,,,,,12994.0673828125,106.99201965332031
1,53,,,14126.2353515625,110.67351531982422,,,
2,80,,,,,,11946.501953125,102.0649185180664
2,80,,,13342.8984375,107.11359405517578,,,
3,99,,,,,89.01953887939453,,
3,107,,,,,,10240.2744140625,93.5331802368164
3,107,,,11965.037109375,100.55855560302734,,,
4,134,,,,,,7913.3095703125,80.52999877929688
4,134,,,9912.8818359375,89.99037170410156,,,
5,149,,,,,77.34943389892578,,
5,161,,,,,,5286.0693359375,63.139678955078125
5,161,,,7376.703125,74.86273193359375,,,
6,188,,,,,,3025.77783203125,43.97392654418945
6,188,,,4804.35791015625,56.47602081298828,,,
7,199,,,,,39.62336349487305,,
7,215,,,,,,1751.2987060546875,30.316650390625
7,215,,,2904.719482421875,40.26274108886719,,,
8,242,,,,,,1370.6568603515625,26.433792114257812
8,242,,,2167.843994140625,33.09992599487305,,,
9,249,,,,,25.948362350463867,,
9,269,,,,,,1324.8486328125,26.1835994720459
9,269,,,2008.5557861328125,32.48518371582031,,,
10,296,,,,,,1314.3203125,26.132564544677734
10,296,,,1922.7603759765625,31.947826385498047,,,
11,299,,,,,32.33291244506836,,
11,323,,,,,,1306.797119140625,25.99605941772461
11,323,,,1929.0750732421875,31.985658645629883,,,
12,349,,,,,26.070947647094727,,
12,350,,,,,,1298.006103515625,25.8431339263916
12,350,,,1983.3282470703125,32.32304000854492,,,
13,377,,,,,,1291.70068359375,25.753541946411133
13,377,,,1895.367431640625,31.258695602416992,,,
14,399,,,,,31.406259536743164,,
14,404,,,,,,1289.684326171875,25.750625610351562
14,404,,,1889.6033935546875,31.384788513183594,,,
15,431,,,,,,1280.945068359375,25.58115005493164
15,431,,,1977.1923828125,32.19744873046875,,,
16,449,,,,,26.575082778930664,,
16,458,,,,,,1276.0076904296875,25.521013259887695
16,458,,,1864.0716552734375,31.760080337524414,,,
17,485,,,,,,1272.7861328125,25.465229034423828
17,485,,,1823.30078125,30.82441520690918,,,
18,499,,,,,30.81783676147461,,
18,512,,,,,,1265.66650390625,25.35599708557129
18,512,,,1931.48583984375,31.86444664001465,,,
19,539,,,,,,1259.2667236328125,25.24703598022461
19,539,,,1882.5972900390625,31.13043785095215,,,
20,549,,,,,34.024967193603516,,
20,566,,,,,,1257.246826171875,25.20331382751465
20,566,,,1968.5162353515625,31.479385375976562,,,
21,593,,,,,,1255.0703125,25.19867706298828
21,593,,,1884.8865966796875,31.42987060546875,,,
22,599,,,,,38.92391586303711,,
22,620,,,,,,1255.3184814453125,25.178958892822266
22,620,,,1857.9566650390625,31.031883239746094,,,
23,647,,,,,,1253.1981201171875,25.056747436523438
23,647,,,1919.0025634765625,31.57798194885254,,,
24,649,,,,,24.666669845581055,,
24,674,,,,,,1252.065673828125,25.070947647094727
24,674,,,1864.9888916015625,31.093111038208008,,,
25,699,,,,,32.88734817504883,,
25,701,,,,,,1248.9429931640625,25.07090950012207
25,701,,,1801.55078125,30.467248916625977,,,
26,728,,,,,,1247.3955078125,25.119720458984375
26,728,,,1737.80859375,30.475492477416992,,,
27,749,,,,,32.34031677246094,,
27,755,,,,,,1245.041259765625,25.016685485839844
27,755,,,1805.86865234375,30.708097457885742,,,
28,782,,,,,,1245.4281005859375,24.938138961791992
28,782,,,1832.5311279296875,30.507465362548828,,,
29,799,,,,,36.10810852050781,,
29,809,,,,,,1243.1602783203125,25.00843048095703
29,809,,,1745.89599609375,30.484384536743164,,,
30,810,2596552960.0,50956.2890625,,,,,
